Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol"""
HDFCBANK,EQ,08-Aug-2025,"1,995.40","1,987.10","1,992.80","1,970.00","1,972.00","1,973.90","1,978.99",6947632,13749288126.4,178320,4921047,70.83,HDFCBANK
HDFCBANK,EQ,11-Aug-2025,"1,973.90","1,975.90","1,997.60","1,973.10","1,992.00","1,995.60","1,986.89",4552927,9046155578.7,165998,2893629,63.56,HDFCBANK
HDFCBANK,EQ,12-Aug-2025,"1,995.60","1,991.90","1,996.00","1,967.50","1,969.70","1,969.90","1,978.54",6468901,12798999218.2,237925,3763379,58.18,HDFCBANK
HDFCBANK,EQ,13-Aug-2025,"1,969.90","1,994.00","1,994.00","1,969.10","1,979.90","1,980.30","1,977.14",6788698,13422176534.1,177703,4659295,68.63,HDFCBANK
HDFCBANK,EQ,14-Aug-2025,"1,980.30","1,978.00","1,996.00","1,971.20","1,989.50","1,991.10","1,990.18",8755858,17425742818.7,174342,5399734,61.67,HDFCBANK
IOC,EQ,08-Aug-2025,141.67,139.99,142.0,139.31,139.8,139.91,140.79,9551412,1344773337.27,58186,2460763,25.76,IOC
IOC,EQ,11-Aug-2025,139.91,141.6,142.95,139.35,141.14,141.41,141.21,11260944,1590138021.34,70522,4123870,36.62,IOC
IOC,EQ,12-Aug-2025,141.41,141.11,143.85,140.86,142.84,142.65,142.73,12858483,1835261531.16,63384,6032894,46.92,IOC
IOC,EQ,13-Aug-2025,142.65,142.65,143.4,141.7,142.54,142.43,142.54,4990372,711342441.73,41918,2429812,48.69,IOC
IOC,EQ,14-Aug-2025,142.43,143.0,143.16,139.86,140.29,140.13,140.93,11453732,1614170765.15,64226,3953933,34.52,IOC
SHREECEM,EQ,08-Aug-2025,"30,655.00","30,560.00","30,935.00","30,330.00","30,330.00","30,415.00","30,564.04",14155,432633920.0,5361,6223,43.96,SHREECEM
SHREECEM,EQ,11-Aug-2025,"30,415.00","30,435.00","30,845.00","30,350.00","30,455.00","30,640.00","30,666.94",18515,567798315.0,7900,11021,59.52,SHREECEM
SHREECEM,EQ,12-Aug-2025,"30,640.00","30,640.00","30,700.00","30,355.00","30,380.00","30,410.00","30,479.30",19839,604678765.0,6251,12800,64.52,SHREECEM
SHREECEM,EQ,13-Aug-2025,"30,410.00","30,450.00","30,735.00","30,250.00","30,585.00","30,410.00","30,411.51",47546,1445945480.0,6158,38317,80.59,SHREECEM
SHREECEM,EQ,14-Aug-2025,"30,410.00","30,610.00","30,610.00","30,230.00","30,450.00","30,400.00","30,362.39",34703,1053666150.0,6076,25737,74.16,SHREECEM
TATAMOTORS,EQ,08-Aug-2025,646.5,647.95,652.95,630.0,630.8,633.7,640.31,10144452,6495549795.7,222231,4452580,43.89,TATAMOTORS
TATAMOTORS,EQ,11-Aug-2025,633.7,636.2,655.0,627.1,654.0,653.75,647.97,17275390,11193880247.4,258911,5441572,31.5,TATAMOTORS
TATAMOTORS,EQ,12-Aug-2025,653.75,651.1,660.95,650.8,655.05,654.1,655.38,11212223,7348230985.35,223425,5139134,45.84,TATAMOTORS
TATAMOTORS,EQ,13-Aug-2025,654.1,657.2,667.0,656.65,663.3,663.75,663.72,7557556,5016113372.65,133862,2483262,32.86,TATAMOTORS
TATAMOTORS,EQ,14-Aug-2025,663.75,666.0,666.55,657.7,664.0,664.6,662.43,6250494,4140529909.7,115002,2699886,43.19,TATAMOTORS
ADANIPORTS,EQ,08-Aug-2025,"1,345.40","1,345.40","1,356.90","1,317.70","1,325.00","1,325.00","1,329.36",1561061,2075207059.8,75429,716223,45.88,ADANIPORTS
ADANIPORTS,EQ,11-Aug-2025,"1,325.00","1,325.00","1,348.30","1,313.70","1,342.80","1,339.40","1,331.27",2053173,2733329998.0,90873,956057,46.56,ADANIPORTS
ADANIPORTS,EQ,12-Aug-2025,"1,339.40","1,342.00","1,349.60","1,328.20","1,328.20","1,330.50","1,338.40",1260241,1686712127.3,53736,523671,41.55,ADANIPORTS
ADANIPORTS,EQ,13-Aug-2025,"1,330.50","1,335.20","1,339.30","1,316.60","1,320.90","1,319.60","1,325.79",1205658,1598447594.2,48099,531340,44.07,ADANIPORTS
ADANIPORTS,EQ,14-Aug-2025,"1,319.60","1,324.80","1,329.00","1,290.50","1,301.40","1,300.30","1,301.48",2298528,2991477617.6,67064,1155705,50.28,ADANIPORTS
ULTRACEMCO,EQ,08-Aug-2025,"12,273.00","12,285.00","12,315.00","12,135.00","12,167.00","12,157.00","12,203.64",201770,2462328532.0,33662,140942,69.85,ULTRACEMCO
ULTRACEMCO,EQ,11-Aug-2025,"12,157.00","12,161.00","12,425.00","12,161.00","12,400.00","12,405.00","12,341.75",218605,2697968454.0,37569,143199,65.51,ULTRACEMCO
ULTRACEMCO,EQ,12-Aug-2025,"12,405.00","12,447.00","12,530.00","12,397.00","12,440.00","12,449.00","12,464.96",334100,4164543229.0,44830,225429,67.47,ULTRACEMCO
ULTRACEMCO,EQ,13-Aug-2025,"12,449.00","12,485.00","12,517.00","12,388.00","12,411.00","12,401.00","12,448.33",207359,2581272313.0,40033,162297,78.27,ULTRACEMCO
ULTRACEMCO,EQ,14-Aug-2025,"12,401.00","12,413.00","12,428.00","12,225.00","12,299.00","12,317.00","12,293.82",235741,2898156494.0,43456,166180,70.49,ULTRACEMCO
BHARTIARTL,EQ,08-Aug-2025,"1,922.60","1,886.30","1,893.80","1,856.00","1,859.50","1,858.60","1,871.02",93801105,175503711662.1,247592,67296143,71.74,BHARTIARTL
BHARTIARTL,EQ,11-Aug-2025,"1,858.60","1,863.00","1,866.00","1,845.70","1,855.30","1,857.40","1,857.65",5266532,9783347103.0,182542,3542782,67.27,BHARTIARTL
BHARTIARTL,EQ,12-Aug-2025,"1,857.40","1,857.40","1,865.00","1,847.10","1,850.20","1,850.30","1,853.80",4645011,8610901523.1,128549,3270444,70.41,BHARTIARTL
BHARTIARTL,EQ,13-Aug-2025,"1,850.30","1,853.00","1,872.50","1,851.80","1,870.90","1,867.40","1,864.40",6697206,12486297813.4,156856,5170613,77.21,BHARTIARTL
BHARTIARTL,EQ,14-Aug-2025,"1,867.40","1,873.00","1,883.00","1,866.80","1,871.00","1,873.80","1,875.27",3958631,7423516081.0,94415,2456618,62.06,BHARTIARTL
HEROMOTOCO,EQ,08-Aug-2025,"4,660.70","4,660.00","4,712.00","4,588.10","4,600.00","4,599.80","4,649.60",972461,4521550461.6,93029,416312,42.81,HEROMOTOCO
HEROMOTOCO,EQ,11-Aug-2025,"4,599.80","4,603.00","4,624.70","4,539.00","4,565.00","4,562.20","4,569.30",455558,2081581374.9,68886,216746,47.58,HEROMOTOCO
HEROMOTOCO,EQ,12-Aug-2025,"4,562.20","4,589.00","4,669.60","4,571.00","4,644.00","4,645.20","4,639.70",723767,3358058999.9,99926,284542,39.31,HEROMOTOCO
HEROMOTOCO,EQ,13-Aug-2025,"4,645.20","4,668.30","4,793.50","4,650.20","4,754.50","4,768.70","4,754.76",1342794,6384669263.2,122893,631467,47.03,HEROMOTOCO
